Row,Predicted
t4,neutral
t1,neutral
t0,neutral
t7,neutral
t5,neutral
t3,neutral
t6,neutral
t9,neutral
t2,neutral
t10,neutral
t8,neutral
t17,positive
t13,neutral
t14,neutral
t18,neutral
t15,neutral
t11,neutral
t23,neutral
t21,positive
t26,neutral
t22,neutral
t34,neutral
t16,negative
t19,neutral
t29,neutral
t25,neutral
t30,neutral
t31,negative
t42,neutral
t37,neutral
t39,neutral
t27,neutral
t38,neutral
t33,neutral
t12,neutral
t24,positive
t46,neutral
t54,neutral
t20,neutral
t45,neutral
t47,neutral
t41,neutral
t35,positive
t32,positive
t50,positive
t40,neutral
t62,neutral
t49,neutral
t58,neutral
t70,neutral
t55,neutral
t78,neutral
t53,neutral
t43,neutral
t28,neutral
t51,neutral
t36,neutral
t48,neutral
t57,neutral
t66,neutral
t59,neutral
t63,neutral
t44,neutral
t61,neutral
t52,neutral
t71,neutral
t65,neutral
t74,neutral
t56,neutral
t67,positive
t64,neutral
t69,neutral
t79,positive
t73,positive
t72,neutral
t77,neutral
t60,positive
t75,neutral
t68,positive
t76,neutral
t80,positive
t81,neutral
t82,neutral
t83,neutral
t84,neutral
t85,neutral
t86,neutral
t87,neutral
t88,neutral
t89,neutral
t90,neutral
t91,neutral
t92,neutral
t93,neutral
t94,neutral
t95,neutral
t96,neutral
t97,neutral
t98,neutral
t99,neutral
t100,neutral
t101,neutral
t102,neutral
t103,neutral
t104,neutral
t105,neutral
t106,neutral
t107,neutral
t108,neutral
t109,neutral
t110,neutral
t111,neutral
t112,neutral
t113,neutral
t114,neutral
t115,neutral
t116,neutral
t117,neutral
t118,neutral
